"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2020,59.8062811
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2021,72.38324674879999
"GHA","Ghana","Western","admin1","Use Rate","in 100 people",2022,72.8827210345
"GHA","Ghana","Western","admin1","Access","in 100 people",2010,22.514407082800002
"GHA","Ghana","Western","admin1","Access","in 100 people",2011,37.0833974436
"GHA","Ghana","Western","admin1","Access","in 100 people",2012,56.287169514
"GHA","Ghana","Western","admin1","Access","in 100 people",2013,55.4788864168
"GHA","Ghana","Western","admin1","Access","in 100 people",2014,53.6094559454
"GHA","Ghana","Western","admin1","Access","in 100 people",2015,60.3761027381
"GHA","Ghana","Western","admin1","Access","in 100 people",2016,59.7218146859
"GHA","Ghana","Western","admin1","Access","in 100 people",2017,56.144873483699996
"GHA","Ghana","Western","admin1","Access","in 100 people",2018,77.01753442229999
"GHA","Ghana","Western","admin1","Access","in 100 people",2019,73.14630935359999
"GHA","Ghana","Western","admin1","Access","in 100 people",2020,57.82170803299999
"GHA","Ghana","Western","admin1","Access","in 100 people",2021,69.375989671
"GHA","Ghana","Western","admin1","Access","in 100 people",2022,68.64955191940001
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2010,13.179005866099999
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2011,27.2956020957
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2012,53.255548348699996
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2013,48.955309081299994
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2014,38.3758259419
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2015,46.9281823279
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2016,61.63157367000001
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2017,64.0113190676
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2018,75.3950614947
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2019,68.1436173003
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2020,56.3186272176
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2021,71.2913750926
"GHA","Ghana","Upper East","admin1","Use","in 100 people",2022,71.51956738150001
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2010,77.56513862659999
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2011,80.74911660389999
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2012,84.2269972004
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2013,75.9119426458
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2014,65.7010076167
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2015,64.7549534292
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2016,72.65970328479999
"GHA","Ghana","Upper East","admin1","Use Rate","in 100 people",2017,77.3587126648
